#Identifiant_A;Identifiant_R;Libellé_du_site;Adresse;Complément_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Libellé_du_type_d_automate;Nb_automtate_par_type;Type_de_distributeur_DAB;geoloc
12039A;641320;BIZANOS BP;29 RUE GEORGES CLEMENCEAU;;;64320;BIZANOS;64132;FRANCE;URNE;1;;43.289354,-0.354634
12042A;641400;BOUCAU BP;5 RUE JOSEPH SAINT ANDRE;;;64340;BOUCAU;64140;FRANCE;NBC1I NABANCO IER;1;;43.524732,-1.486358
12046A;641600;CAMBO LES BAINS;AVENUE DE LA MAIRIE;;;64250;CAMBO LES BAINS;64160;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;43.36066,-1.398695
12046A;641600;CAMBO LES BAINS;AVENUE DE LA MAIRIE;;;64250;CAMBO LES BAINS;64160;FRANCE;URNE;1;;43.36066,-1.398695
12055D;750338;BP-PARIS MACDONALD BP;201 BOULEVARD MACDONALD;;;75019;PARIS;75119;FRANCE;CPT BILLET;1;;48.898703,2.372892
12055D;750338;BP-PARIS MACDONALD BP;201 BOULEVARD MACDONALD;;;75019;PARIS;75119;FRANCE;LISA 2;2;;48.898703,2.372892
12058A;642300;GAN BP;23 PLACE DE LA MAIRIE;;;64290;GAN;64230;FRANCE;CPT BILLET;1;;43.229451,-0.386357
12068A;642600;HENDAYE PRINCIPAL BP;14 RUE DU JAIZQUIBEL;;;64700;HENDAYE;64260;FRANCE;URNE;1;;43.359472,-1.775124
12072A;642840;JURANCON;4 AVENUE CHARLES DE GAULLE;;;64110;JURANCON;64284;FRANCE;DAB;1;Interne;43.287413,-0.390562
12072A;642840;JURANCON;4 AVENUE CHARLES DE GAULLE;;;64110;JURANCON;64284;FRANCE;LISA 2;1;;43.287413,-0.390562
12084A;643350;LESCAR;13 RUE DU PARVIS;;;64230;LESCAR;64335;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;2;;43.332695,-0.436218
12084A;643350;LESCAR;13 RUE DU PARVIS;;;64230;LESCAR;64335;FRANCE;DAB;1;Externe;43.332695,-0.436218
12084A;643350;LESCAR;13 RUE DU PARVIS;;;64230;LESCAR;64335;FRANCE;DAB;1;Interne;43.332695,-0.436218
12084A;643350;LESCAR;13 RUE DU PARVIS;;;64230;LESCAR;64335;FRANCE;LISA 2;1;;43.332695,-0.436218
12094A;643710;MAULEON SOULE BP;16 RUE JEAN BAPTISTE HEUGAS;;;64130;MAULEON SOULE;64371;FRANCE;CPT BILLET;1;;43.220815,-0.89144
12094A;643710;MAULEON SOULE BP;16 RUE JEAN BAPTISTE HEUGAS;;;64130;MAULEON SOULE;64371;FRANCE;NBC1I NABANCO IER;1;;43.220815,-0.89144
12101A;644050;MORLAAS;PLACE SAINTE FOY;;;64160;MORLAAS;64405;FRANCE;URNE;1;;43.344911,-0.263218
12105A;644100;MOURENX BP;1 RUE RAOUL FOLLEREAU;;;64150;MOURENX;64410;FRANCE;CPT BILLET;1;;43.371224,-0.63239
12110A;644220;OLORON STE MARIE;PLACE DU GENERAL DE GAULLE;;;64400;OLORON STE MARIE;64422;FRANCE;DAB;1;Interne;43.191937,-0.609224
12112A;644300;ORTHEZ;PLACE D ARMES;;;64300;ORTHEZ;64430;FRANCE;CPT BILLET;1;;43.487633,-0.773361
12115A;644450;PAU BOSQUET;14 RUE GAMBETTA;;;64000;PAU;64445;FRANCE;DAB;2;Interne;43.296889,-0.366316
12115A;644450;PAU BOSQUET;14 RUE GAMBETTA;;;64000;PAU;64445;FRANCE;NBC1I NABANCO IER;1;;43.296889,-0.366316
12116A;644530;PONTACQ BP;7 PLACE HUNINGUE;;;64530;PONTACQ;64453;FRANCE;URNE;1;;43.185352,-0.115346
12122A;644770;SAINT ETIENNE DE BAIGORRY BP;RUE DE LA POSTE;;;64430;ST ETIENNE DE BAIGORRY;64477;FRANCE;CPT BILLET;1;;43.213616,-1.344139
12123A;644830;SAINT JEAN DE LUZ;44 BOULEVARD VICTOR HUGO;;;64500;ST JEAN DE LUZ;64483;FRANCE;DAB;1;Externe;43.388391,-1.658936
12123A;644830;SAINT JEAN DE LUZ;44 BOULEVARD VICTOR HUGO;;;64500;ST JEAN DE LUZ;64483;FRANCE;NAB1I NABUCCO IER;1;;43.388391,-1.658936
12129A;644960;SAINT PIERRE D IRUBE BP;24 AVENUE DU LABOURD;;;64990;ST PIERRE D IRUBE;64496;FRANCE;URNE;1;;43.478587,-1.458555
12131A;645040;SARE BP;ALLEE DES PLATANES;;;64310;SARE;64504;FRANCE;CPT BILLET;1;;43.306967,-1.572495
12131A;645040;SARE BP;ALLEE DES PLATANES;;;64310;SARE;64504;FRANCE;DAB;1;Externe;43.306967,-1.572495
12136A;645190;SERRES-CASTET BP;5 PLACE DES QUATRES SAISONS;;;64121;SERRES CASTET;64519;FRANCE;DAB;1;Externe;43.376926,-0.379086
12147A;645470;USTARITZ BP;PLACE DE LA POSTE;;;64480;USTARITZ;64547;FRANCE;URNE;1;;43.395491,-1.45282
12150A;645820;PAU OUSSE BP;126 AVENUE DE BUROS;;;64000;PAU;64445;FRANCE;CPT BILLET;1;;43.320675,-0.346139
12151A;645830;BAYONNE LABAT;11 RUE JULES LABAT;;;64100;BAYONNE;64102;FRANCE;LISA 2;2;;43.493353,-1.477761
12151A;645830;BAYONNE LABAT;11 RUE JULES LABAT;;;64100;BAYONNE;64102;FRANCE;SCA1M AUTOMATE CHEQUE MONEYLINE;1;;43.493353,-1.477761
12156A;649200;BAYONNE SAINT ESPRIT;18 BOULEVARD ALSACE LORRAINE;;;64100;BAYONNE;64102;FRANCE;URNE;1;;43.494167,-1.467695
12168A;649510;PAU UNIVERSITE;2 RUE LAVOISIER;;;64000;PAU;64445;FRANCE;CHANGEUR MONNAIE;1;;43.310592,-0.364091
12168A;649510;PAU UNIVERSITE;2 RUE LAVOISIER;;;64000;PAU;64445;FRANCE;DAB;1;;43.310592,-0.364091
12168A;649510;PAU UNIVERSITE;2 RUE LAVOISIER;;;64000;PAU;64445;FRANCE;DAB;2;Interne;43.310592,-0.364091
12168A;649510;PAU UNIVERSITE;2 RUE LAVOISIER;;;64000;PAU;64445;FRANCE;NAB1I NABUCCO IER;2;;43.310592,-0.364091
12189A;650470;AUREILHAN;9 RUE JULES FERRY;;;65800;AUREILHAN;65047;FRANCE;CPT BILLET;1;;43.241264,0.096883
12191A;650590;BAGNERES DE BIGORRE;26 ALLEE DES COUSTOUS;;;65200;BAGNERES DE BIGORRE;65059;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;43.064283,0.150204
12191A;650590;BAGNERES DE BIGORRE;26 ALLEE DES COUSTOUS;;;65200;BAGNERES DE BIGORRE;65059;FRANCE;LISA 2;1;;43.064283,0.150204
12192A;650620;BARBAZAN DEBAT BP;5378 PLACE DE L EUROPE;;;65690;BARBAZAN DEBAT;65062;FRANCE;DAB;1;Externe;43.197294,0.117261
12199A;651000;BORDERES SUR L ECHEZ BP;6 BIS PLACE JEAN JAURES;;;65320;BORDERES SUR L ECHEZ;65100;FRANCE;URNE;1;;43.258098,0.050771
12220A;652260;IBOS BP;5 PLACE DE VERDUN;;;65420;IBOS;65226;FRANCE;URNE;1;;43.234056,0.001923
12233A;652860;LOURDES;31 AVENUE GENERAL BARON MARANSIN;;;65100;LOURDES;65286;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;43.097012,-0.045843
