#Identifiant_A;Identifiant_R;Libellé_du_site;Adresse;Complément_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Libellé_du_type_d_automate;Nb_automtate_par_type;Type_de_distributeur_DAB;geoloc
11465A;620400;ARQUES BP;3 AVENUE DU GENERAL DE GAULLE;;;62510;ARQUES;62040;FRANCE;URNE;1;;50.734404,2.29657
11466A;620410;ARRAS COEUR DE VILLE;13 RUE LEON GAMBETTA;;;62000;ARRAS;62041;FRANCE;LISA 2;1;;50.288147,2.778018
11469A;620480;AUCHEL;PLACE JULES GUESDE;;;62260;AUCHEL;62048;FRANCE;DAB;1;Externe;50.503757,2.468524
11469A;620480;AUCHEL;PLACE JULES GUESDE;;;62260;AUCHEL;62048;FRANCE;DAB;1;Interne;50.503757,2.468524
11472A;620570;AUDRUICQ;75 RUE GEORGES MAUFFAIT;;;62370;AUDRUICQ;62057;FRANCE;DAB;1;Externe;50.878212,2.082717
11474A;620630;AVESNES LE COMTE;28 RUE DE LA POSTE;;;62810;AVESNES LE COMTE;62063;FRANCE;CPT BILLET;1;;50.278609,2.527921
11474A;620630;AVESNES LE COMTE;28 RUE DE LA POSTE;;;62810;AVESNES LE COMTE;62063;FRANCE;NBC1I NABANCO IER;1;;50.278609,2.527921
11475A;620650;AVION;31 RUE CHARLES FERRAND;;;62210;AVION;62065;FRANCE;DAB;1;Interne;50.408703,2.830919
11478A;620800;BAPAUME BP;2 RUE FELIX FAURE;;;62450;BAPAUME;62080;FRANCE;LISA 2;1;;50.103645,2.849091
11479A;620830;BARLIN BP;68 PLACE ROGER SALENGRO;;;62620;BARLIN;62083;FRANCE;CPT BILLET;1;;50.458766,2.614387
11484A;620990;BEAURAINS;79 RUE RAOUL BRIQUET;;;62217;BEAURAINS;62099;FRANCE;NBC1I NABANCO IER;1;;50.267224,2.777626
11485A;621000;BEAURAINVILLE BP;17 RUE DE LA POSTE;;;62990;BEAURAINVILLE;62100;FRANCE;URNE;1;;50.423572,1.901385
11486A;621080;BERCK SUR MER PRINCIPAL;5 RUE GABRIEL PERI;;;62600;BERCK;62108;FRANCE;CHANGEUR MONNAIE;1;;50.405752,1.568428
11486A;621080;BERCK SUR MER PRINCIPAL;5 RUE GABRIEL PERI;;;62600;BERCK;62108;FRANCE;DAB;1;Interne;50.405752,1.568428
11486A;621080;BERCK SUR MER PRINCIPAL;5 RUE GABRIEL PERI;;;62600;BERCK;62108;FRANCE;LISA 2;1;;50.405752,1.568428
11487A;621130;BOULOGNE BREQUERECQUE BP;BOULEVARD BEAUCERF;;;62200;BOULOGNE SUR MER;62160;FRANCE;URNE;1;;50.716625,1.613407
11489A;621190;BETHUNE PRINCIPAL;PLACE DU MARECHAL JOFFRE;;;62400;BETHUNE;62119;FRANCE;NBC1I NABANCO IER;1;;50.532927,2.643793
11493A;621260;BEUVRY BP;PLACE ROGER SALENGRO;;;62660;BEUVRY;62126;FRANCE;CPT BILLET;1;;50.522099,2.681965
11493A;621260;BEUVRY BP;PLACE ROGER SALENGRO;;;62660;BEUVRY;62126;FRANCE;URNE;1;;50.522099,2.681965
11498A;621320;BILLY BERCLAU BP;199 RUE DU GENERAL DE GAULLE;;;62138;BILLY BERCLAU;62132;FRANCE;CPT BILLET;1;;50.522039,2.871952
11499A;621330;BILLY MONTIGNY BP;RUE SAINTE CECILE;;;62420;BILLY MONTIGNY;62133;FRANCE;CHANGEUR MONNAIE;1;;50.418839,2.910097
11499A;621330;BILLY MONTIGNY BP;RUE SAINTE CECILE;;;62420;BILLY MONTIGNY;62133;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;50.418839,2.910097
11499A;621330;BILLY MONTIGNY BP;RUE SAINTE CECILE;;;62420;BILLY MONTIGNY;62133;FRANCE;NBC1I NABANCO IER;1;;50.418839,2.910097
11508A;621600;BOULOGNE SUR MER PRINCIPAL;PLACE FREDERIC SAUVAGE;;;62200;BOULOGNE SUR MER;62160;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;50.723275,1.602377
11508A;621600;BOULOGNE SUR MER PRINCIPAL;PLACE FREDERIC SAUVAGE;;;62200;BOULOGNE SUR MER;62160;FRANCE;LISA 2;1;;50.723275,1.602377
11514A;621780;BRUAY LA BUISSIERE;168 R DU COMMANDANT L HERMINIER;;;62700;BRUAY LA BUISSIERE;62178;FRANCE;CHANGEUR MONNAIE;1;;50.483471,2.546499
11517A;621880;BURBURE BP;51 RUE DE LILLERS;;;62151;BURBURE;62188;FRANCE;CPT BILLET;1;;50.539737,2.467384
11519A;621930;CALAIS THEATRE;PLACE D ALSACE;;;62100;CALAIS;62193;FRANCE;CPT BILLET;3;;50.945728,1.853705
06022A;335140;SOULAC SUR MER BP;RUE MARECHAL ORNANO;;;33780;SOULAC SUR MER;33514;FRANCE;DAB;1;Externe;45.514613,-1.123067
11519A;621930;CALAIS THEATRE;PLACE D ALSACE;;;62100;CALAIS;62193;FRANCE;DAB;2;Interne;50.945728,1.853705
06026A;335220;TALENCE;262 COURS GAMBETTA;;;33400;TALENCE;33522;FRANCE;DAB;2;Interne;44.812689,-0.590514
11522A;622000;CAMBRIN BP;68 BOULEVARD LOUIS LESAGE;;;62149;CAMBRIN;62200;FRANCE;NBC1I NABANCO IER;1;;50.511127,2.738101
06031A;335290;LA TESTE BP;2 ESPLANADE EDMOND DORE;;;33260;LA TESTE DE BUCH;33529;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;44.631242,-1.148655
11525A;622150;CARVIN;69 RUE DE LA GARE;;;62220;CARVIN;62215;FRANCE;DAB;1;Externe;50.489984,2.954013
06031A;335290;LA TESTE BP;2 ESPLANADE EDMOND DORE;;;33260;LA TESTE DE BUCH;33529;FRANCE;DAB;1;Interne;44.631242,-1.148655
11525A;622150;CARVIN;69 RUE DE LA GARE;;;62220;CARVIN;62215;FRANCE;URNE;1;;50.489984,2.954013
06031A;335290;LA TESTE BP;2 ESPLANADE EDMOND DORE;;;33260;LA TESTE DE BUCH;33529;FRANCE;LISA 2;1;;44.631242,-1.148655
11533A;622400;CORBEHEM AP;PLACE DE LA MAIRIE;MAIRIE DE CORBEHEM;;62112;CORBEHEM;62240;FRANCE;CPT BILLET;1;;50.335572,3.049371
06031A;335290;LA TESTE BP;2 ESPLANADE EDMOND DORE;;;33260;LA TESTE DE BUCH;33529;FRANCE;URNE;1;;44.631242,-1.148655
11535A;622490;COURCELLES LES LENS BP;13 PLACE JEAN JAURES;;;62970;COURCELLES LES LENS;62249;FRANCE;NBC1I NABANCO IER;1;;50.418632,3.015683
06046A;335470;VILLANDRAUT BP;RUE DANIEL DARTIGUE;;;33730;VILLANDRAUT;33547;FRANCE;URNE;1;;44.457289,-0.372086
11539A;622610;CUCQ BP;1650 AVENUE DE LA LIBERATION;;;62780;CUCQ;62261;FRANCE;URNE;1;;50.487213,1.623151
06050A;335550;MARCHEPRIME BP;AVENUE DE LA REPUBLIQUE;IMMEUBLE LES PORTES DU PARC;;33380;MARCHEPRIME;33555;FRANCE;DAB;1;Externe;44.691804,-0.854211
11543A;622680;DESVRES BP;24 RUE DU CHATEAU;;;62240;DESVRES;62268;FRANCE;CPT BILLET;1;;50.669372,1.834774
06053A;335720;VILLENAVE D ORNON BP;RUE THIERS;CENTRE COMMERCIAL CHAMBOPARC;;33140;VILLENAVE D ORNON;33550;FRANCE;CPT BILLET;1;;44.765324,-0.582938
11545A;622700;DIVION BP;RUE EMILE ZOLA;;;62460;DIVION;62270;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;50.469426,2.503434
06053A;335720;VILLENAVE D ORNON BP;RUE THIERS;CENTRE COMMERCIAL CHAMBOPARC;;33140;VILLENAVE D ORNON;33550;FRANCE;DAB;1;Externe;44.765324,-0.582938
11545A;622700;DIVION BP;RUE EMILE ZOLA;;;62460;DIVION;62270;FRANCE;CPT BILLET;1;;50.469426,2.503434
06053A;335720;VILLENAVE D ORNON BP;RUE THIERS;CENTRE COMMERCIAL CHAMBOPARC;;33140;VILLENAVE D ORNON;33550;FRANCE;LISA 2;1;;44.765324,-0.582938
11547A;622740;DOURGES BP;11 RUE LEON GAMBETTA;;;62119;DOURGES;62274;FRANCE;CPT BILLET;1;;50.434489,2.984353
06060A;335890;PESSAC CAP DE BOS BP;AVENUE DES PROVINCES;CENTRE COMMERCIAL CAP DE BOS;;33600;PESSAC;33318;FRANCE;CPT BILLET;1;;44.792492,-0.682346
11547A;622740;DOURGES BP;11 RUE LEON GAMBETTA;;;62119;DOURGES;62274;FRANCE;DAB;1;Externe;50.434489,2.984353
06067A;335960;LORMONT 4 PAVILLONS BP;CENTRE COMMERCIAL DES 4 PAVILLONS;;;33310;LORMONT;33249;FRANCE;CPT BILLET;2;;44.86628,-0.517536
11558A;623180;ETAPLES BP;9 RUE DU GENERAL OBERT;;;62630;ETAPLES;62318;FRANCE;NBC1I NABANCO IER;1;;50.514383,1.639669
06079A;336100;EYSINES MIGRON BP;PLACE FLORALE;;;33320;EYSINES;33162;FRANCE;NBC1I NABANCO IER;1;;44.868689,-0.635857
11559A;623210;EVIN MALMAISON BP;109 RUE EMILE BASLY;;;62141;EVIN MALMAISON;62321;FRANCE;CPT BILLET;1;;50.438304,3.034076
06087A;336270;MERIGNAC MONDESIR BP;21 AVENUE DE LA MARNE;;;33700;MERIGNAC;33281;FRANCE;DAB;1;Externe;44.836929,-0.620816
11581A;624000;HAILLICOURT BP;PLACE JEAN JAURES;;;62940;HAILLICOURT;62400;FRANCE;URNE;1;;50.474336,2.58445
06087A;336270;MERIGNAC MONDESIR BP;21 AVENUE DE LA MARNE;;;33700;MERIGNAC;33281;FRANCE;NBC1I NABANCO IER;1;;44.836929,-0.620816
11584A;624130;HARNES BP;4 GRAND PLACE;;;62440;HARNES;62413;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;50.444386,2.903666
06089A;336300;TALENCE THOUARS BP;1 PLACE CHARLES DE GAULLE;;;33400;TALENCE;33522;FRANCE;DAB;1;Externe;44.790937,-0.58779
11586A;624270;HENIN BEAUMONT PRINCIPAL;164 RUE ROBERT AYLE;GRAND PUBLIC;;62110;HENIN BEAUMONT;62427;FRANCE;LISA 2;1;;50.418544,2.943867
06096A;339220;BORDEAUX BASTIDE;80 AVENUE THIERS;;;33100;BORDEAUX;33063;FRANCE;DAB;1;Externe;44.843457,-0.555382
11591A;624470;HESDIN BP;4 PLACE GARBE;;;62140;HESDIN;62447;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;50.37535,2.0383
06098A;339240;BORDEAUX VICTOIRE;19 PLACE DE LA VICTOIRE;;;33000;BORDEAUX;33063;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;44.830433,-0.57342
06098A;339240;BORDEAUX VICTOIRE;19 PLACE DE LA VICTOIRE;;;33000;BORDEAUX;33063;FRANCE;CPT BILLET;2;;44.830433,-0.57342
06098A;339240;BORDEAUX VICTOIRE;19 PLACE DE LA VICTOIRE;;;33000;BORDEAUX;33063;FRANCE;DAB;2;Externe;44.830433,-0.57342
06098A;339240;BORDEAUX VICTOIRE;19 PLACE DE LA VICTOIRE;;;33000;BORDEAUX;33063;FRANCE;NBC1I NABANCO IER;2;;44.830433,-0.57342
06099A;339250;BORDEAUX MARITIME;130 COURS EDOUARD VAILLANT;;;33300;BORDEAUX;33063;FRANCE;NAB1I NABUCCO IER;1;;44.864459,-0.56354
06099A;339250;BORDEAUX MARITIME;130 COURS EDOUARD VAILLANT;;;33300;BORDEAUX;33063;FRANCE;SCA1M AUTOMATE CHEQUE MONEYLINE;1;;44.864459,-0.56354
06101A;339270;BORDEAUX LES CHARTRONS;3 COURS SAINT LOUIS;;;33300;BORDEAUX;33063;FRANCE;SCA1M AUTOMATE CHEQUE MONEYLINE;1;;44.855394,-0.571995
06103A;339290;BORDEAUX SAINT JEAN BP;205 COURS DE LA MARNE;;;33800;BORDEAUX;33063;FRANCE;LISA 2;1;;44.82763,-0.558964
06104A;339300;BORDEAUX NANSOUTY BP;243 COURS DE LA SOMME;;;33800;BORDEAUX;33063;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;44.820878,-0.572505
06106A;339320;BORDEAUX SAINT AUGUSTIN BP;10 PLACE DE L EGLISE SAINT AUGUSTIN;;;33000;BORDEAUX;33063;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;44.832299,-0.611031
06106A;339320;BORDEAUX SAINT AUGUSTIN BP;10 PLACE DE L EGLISE SAINT AUGUSTIN;;;33000;BORDEAUX;33063;FRANCE;CPT BILLET;1;;44.832299,-0.611031
06108A;339340;CESTAS PRINCIPAL BP;6 CHEMIN DE PUJAU;;;33610;CESTAS;33122;FRANCE;CHANGEUR MONNAIE;1;;44.7398,-0.68265
06108A;339340;CESTAS PRINCIPAL BP;6 CHEMIN DE PUJAU;;;33610;CESTAS;33122;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;44.7398,-0.68265
06108A;339340;CESTAS PRINCIPAL BP;6 CHEMIN DE PUJAU;;;33610;CESTAS;33122;FRANCE;DAB;1;Interne;44.7398,-0.68265
06108A;339340;CESTAS PRINCIPAL BP;6 CHEMIN DE PUJAU;;;33610;CESTAS;33122;FRANCE;LISA 2;1;;44.7398,-0.68265
06108A;339340;CESTAS PRINCIPAL BP;6 CHEMIN DE PUJAU;;;33610;CESTAS;33122;FRANCE;URNE;1;;44.7398,-0.68265
06110A;339360;VILLENAVE D ORNON PRINCIPAL;1 RUE JEAN LECOINTE;;;33140;VILLENAVE D ORNON;33550;FRANCE;CHANGEUR MONNAIE;1;;44.782126,-0.566672
06110A;339360;VILLENAVE D ORNON PRINCIPAL;1 RUE JEAN LECOINTE;;;33140;VILLENAVE D ORNON;33550;FRANCE;LISA 2;1;;44.782126,-0.566672
06115A;339410;PESSAC ALOUETTE;31 BIS AVENUE DU GENERAL LECLERC;;;33600;PESSAC;33318;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;44.79607,-0.666997
06115A;339410;PESSAC ALOUETTE;31 BIS AVENUE DU GENERAL LECLERC;;;33600;PESSAC;33318;FRANCE;DAB;1;Externe;44.79607,-0.666997
06115A;339410;PESSAC ALOUETTE;31 BIS AVENUE DU GENERAL LECLERC;;;33600;PESSAC;33318;FRANCE;NBC1I NABANCO IER;1;;44.79607,-0.666997
06121A;339470;BORDEAUX LES AUBIERS BP;COURS DES AUBIERS;;;33300;BORDEAUX;33063;FRANCE;CPT BILLET;1;;44.872991,-0.57237
06145A;339760;BORDEAUX GRAND PARC BP;PLACE DE L EUROPE;CITE DU GRAND PARC;;33300;BORDEAUX;33063;FRANCE;NBC1I NABANCO IER;1;;44.859531,-0.580308
06147A;339830;BORDEAUX CAUDERAN;47 AVENUE LOUIS BARTHOU;;;33200;BORDEAUX;33063;FRANCE;CPT BILLET;2;;44.851506,-0.609501
06147A;339830;BORDEAUX CAUDERAN;47 AVENUE LOUIS BARTHOU;;;33200;BORDEAUX;33063;FRANCE;DAB;1;Externe;44.851506,-0.609501
06147A;339830;BORDEAUX CAUDERAN;47 AVENUE LOUIS BARTHOU;;;33200;BORDEAUX;33063;FRANCE;DAB;1;Interne;44.851506,-0.609501
06147A;339830;BORDEAUX CAUDERAN;47 AVENUE LOUIS BARTHOU;;;33200;BORDEAUX;33063;FRANCE;NAB1W NABUCCO WINCOR;1;;44.851506,-0.609501
06151A;340030;AGDE;1 AVENUE DU 8 MAI 1945;;;34300;AGDE;34003;FRANCE;CPT BILLET;1;;43.315452,3.4721
06151A;340030;AGDE;1 AVENUE DU 8 MAI 1945;;;34300;AGDE;34003;FRANCE;DAB;2;Interne;43.315452,3.4721
06151A;340030;AGDE;1 AVENUE DU 8 MAI 1945;;;34300;AGDE;34003;FRANCE;SCA1M AUTOMATE CHEQUE MONEYLINE;1;;43.315452,3.4721
06163A;340220;BAILLARGUES BP;300 RUE DES ECOLES;;;34670;BAILLARGUES;34022;FRANCE;NAB1I NABUCCO IER;1;;43.658549,4.010248
06163A;340220;BAILLARGUES BP;300 RUE DES ECOLES;;;34670;BAILLARGUES;34022;FRANCE;URNE;1;;43.658549,4.010248
06164A;340230;BALARUC LES BAINS BP;20 AVENUE DU PORT;;;34540;BALARUC LES BAINS;34023;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;43.440642,3.681503
06164A;340230;BALARUC LES BAINS BP;20 AVENUE DU PORT;;;34540;BALARUC LES BAINS;34023;FRANCE;LISA 2;1;;43.440642,3.681503
06169A;340280;BEDARIEUX;PLACE ALBERT THOMAS;;;34600;BEDARIEUX;34028;FRANCE;URNE;1;;43.615454,3.158064
06171A;340310;BESSAN BP;PLACE DE LA FONTAINE;;;34550;BESSAN;34031;FRANCE;NBC1I NABANCO IER;1;;43.36113,3.425994
06172A;340320;BEZIERS CLEMENCEAU;106 AVENUE GEORGES CLEMENCEAU;;;34500;BEZIERS;34032;FRANCE;DAB;3;Interne;43.349569,3.221882
06172A;340320;BEZIERS CLEMENCEAU;106 AVENUE GEORGES CLEMENCEAU;;;34500;BEZIERS;34032;FRANCE;SCA1M AUTOMATE CHEQUE MONEYLINE;1;;43.349569,3.221882
06179A;340440;MONTPELLIER COMEDIE;9 PASSAGE BRUYAS;;;34000;MONTPELLIER;34172;FRANCE;DAB;3;Externe;43.609206,3.880119
06179A;340440;MONTPELLIER COMEDIE;9 PASSAGE BRUYAS;;;34000;MONTPELLIER;34172;FRANCE;LISA 2;1;;43.609206,3.880119
06179A;340440;MONTPELLIER COMEDIE;9 PASSAGE BRUYAS;;;34000;MONTPELLIER;34172;FRANCE;NBC1I NABANCO IER;2;;43.609206,3.880119
06187A;340570;CASTELNAU LE LEZ;2 PLACE PIERRE MENDES FRANCE;;;34170;CASTELNAU LE LEZ;34057;FRANCE;NBC1I NABANCO IER;1;;43.632331,3.897402
06188A;340580;CASTRIES;9 RUE DU COURS COMPLEMENTAIRE;;;34160;CASTRIES;34058;FRANCE;CPT BILLET;1;;43.678154,3.98218
06188A;340580;CASTRIES;9 RUE DU COURS COMPLEMENTAIRE;;;34160;CASTRIES;34058;FRANCE;URNE;1;;43.678154,3.98218
06192A;340620;MONTPELLIER LES ARCEAUX BP;16 RUE SAINT LOUIS;;;34000;MONTPELLIER;34172;FRANCE;NAB1I NABUCCO IER;1;;43.610968,3.866678
06192A;340620;MONTPELLIER LES ARCEAUX BP;16 RUE SAINT LOUIS;;;34000;MONTPELLIER;34172;FRANCE;NBC1I NABANCO IER;1;;43.610968,3.866678
06192A;340620;MONTPELLIER LES ARCEAUX BP;16 RUE SAINT LOUIS;;;34000;MONTPELLIER;34172;FRANCE;URNE;1;;43.610968,3.866678
06198A;340690;CAZOULS LES BEZIERS BP;1 RUE VOLTAIRE;;;34370;CAZOULS LES BEZIERS;34069;FRANCE;URNE;1;;43.391662,3.102572
06205A;340770;CLAPIERS BP;5 PLACE MAX LEENHARDT;;;34830;CLAPIERS;34077;FRANCE;DAB;1;Externe;43.657157,3.885678
06207A;340790;CLERMONT L HERAULT;4 ALLEE ROGER SALENGRO;;;34800;CLERMONT L HERAULT;34079;FRANCE;DAB;2;Interne;43.626776,3.434752
06207A;340790;CLERMONT L HERAULT;4 ALLEE ROGER SALENGRO;;;34800;CLERMONT L HERAULT;34079;FRANCE;LISA 2;1;;43.626776,3.434752
06213A;340880;COURNONTERRAL BP;RUE DES ESSIEUX;;;34660;COURNONTERRAL;34088;FRANCE;URNE;1;;43.55768,3.719981
06215A;340900;LE CRES BP;AVENUE DES BALEARES;;;34920;LE CRES;34090;FRANCE;DAB;1;Interne;43.651751,3.944645
06218A;340950;FABREGUES;RUE DE LA MAIRIE;;;34690;FABREGUES;34095;FRANCE;DAB;1;Externe;43.549783,3.779463
06218A;340950;FABREGUES;RUE DE LA MAIRIE;;;34690;FABREGUES;34095;FRANCE;URNE;1;;43.549783,3.779463
06229A;341130;GIGEAN BP;PLACE DE LA POSTE;;;34770;GIGEAN;34113;FRANCE;CPT BILLET;1;;43.501181,3.710591
06233A;341190;HEREPIAN BP;1 IMPASSE JOSEPH BOUISSY;;;34600;HEREPIAN;34119;FRANCE;URNE;1;;43.594519,3.114507
06234A;341200;JACOU BP;6 AVENUE DE VENDARGUES;;;34830;JACOU;34120;FRANCE;CPT BILLET;1;;43.659184,3.91229
06236A;341230;JUVIGNAC;ROUTE DE SAINT GEORGES D ORQUES;CENTRE COMMERCIAL LES PORTES DU SOLEIL;;34990;JUVIGNAC;34123;FRANCE;CPT BILLET;1;;43.612016,3.807368
06236A;341230;JUVIGNAC;ROUTE DE SAINT GEORGES D ORQUES;CENTRE COMMERCIAL LES PORTES DU SOLEIL;;34990;JUVIGNAC;34123;FRANCE;DAB;1;Interne;43.612016,3.807368
06239A;341290;LATTES;607 AVENUE DE MONTPELLIER;;;34970;LATTES;34129;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;43.568633,3.904181
06239A;341290;LATTES;607 AVENUE DE MONTPELLIER;;;34970;LATTES;34129;FRANCE;NBC1I NABANCO IER;1;;43.568633,3.904181
06247A;341420;LODEVE BP;3 PLACE DU MARCHE;;;34700;LODEVE;34142;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;43.730419,3.320753
06250A;341450;LUNEL TIVOLI;50 RUE TIVOLI;;;34400;LUNEL;34145;FRANCE;LISA 2;1;;43.672792,4.131557
06255A;341510;MARSILLARGUES BP;BOULEVARD GABRIEL PERI;;;34590;MARSILLARGUES;34151;FRANCE;CPT BILLET;1;;43.665302,4.176698
06257A;341540;MAUGUIO;329 BOULEVARD DE LA DEMOCRATIE;;;34130;MAUGUIO;34154;FRANCE;DAB;1;Externe;43.618082,4.009887
06257A;341540;MAUGUIO;329 BOULEVARD DE LA DEMOCRATIE;;;34130;MAUGUIO;34154;FRANCE;LISA 2;1;;43.618082,4.009887
06258A;341550;MAUREILHAN BP;3 RUE PIERRE FLOURENS;;;34370;MAUREILHAN;34155;FRANCE;DAB;1;;43.358225,3.1208
06263A;341610;MONTADY BP;AVENUE DES PLATANES;;;34310;MONTADY;34161;FRANCE;CPT BILLET;1;;43.332259,3.122285
06263A;341610;MONTADY BP;AVENUE DES PLATANES;;;34310;MONTADY;34161;FRANCE;NBC1I NABANCO IER;1;;43.332259,3.122285
06271A;341720;MONTPELLIER RONDELET;15 RUE RONDELET;;;34000;MONTPELLIER;34172;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;43.604819,3.875115
06287A;341930;MONTPELLIER ALCO BP;ALLEE DE LA GARDIOLE;LA PERGOLA ESCALIER E;;34080;MONTPELLIER;34172;FRANCE;DAB;1;Externe;43.617633,3.836995
06288A;341940;PAULHAN BP;20 AVENUE PAUL PELISSE;;;34230;PAULHAN;34194;FRANCE;DAB;1;Externe;43.538792,3.45862
06290A;341980;PEROLS LA NORIA BP;15 PLACE GEORGES BRASSENS;BATIMENT A LA NORIA;;34470;PEROLS;34198;FRANCE;LISA 2;1;;43.564769,3.955256
06291A;341990;PEZENAS;PLACE DU 14 JUILLET;;;34120;PEZENAS;34199;FRANCE;NBC1I NABANCO IER;1;;43.460939,3.424685
06328A;342470;SAINT CLEMENT DE RIVIERE BP;CENTRE COMMERCIAL BOULIDOU;;;34980;ST CLEMENT DE RIVIERE;34247;FRANCE;CPT BILLET;1;;43.683177,3.851132
06342A;342700;SAINT JEAN DE VEDAS BP;1 RUE DE L ORTET;;;34430;ST JEAN DE VEDAS;34270;FRANCE;DAB;1;Externe;43.577229,3.828314
06342A;342700;SAINT JEAN DE VEDAS BP;1 RUE DE L ORTET;;;34430;ST JEAN DE VEDAS;34270;FRANCE;LISA 2;1;;43.577229,3.828314
06344A;342730;MONTPELLIER PORT MARIANNE BP;45 PLACE ERNEST GRANIER;IMMEUBLE ETOILE RICHTER B 1;;34000;MONTPELLIER;34172;FRANCE;DAB;1;Externe;43.602208,3.900449
06344A;342730;MONTPELLIER PORT MARIANNE BP;45 PLACE ERNEST GRANIER;IMMEUBLE ETOILE RICHTER B 1;;34000;MONTPELLIER;34172;FRANCE;DAB;1;Interne;43.602208,3.900449
06344A;342730;MONTPELLIER PORT MARIANNE BP;45 PLACE ERNEST GRANIER;IMMEUBLE ETOILE RICHTER B 1;;34000;MONTPELLIER;34172;FRANCE;NBC1I NABANCO IER;1;;43.602208,3.900449
06346A;342760;SAINT MATHIEU DE TREVIERS BP;231 RUE DE L AMANDIER;;;34270;ST MATHIEU DE TREVIERS;34276;FRANCE;NAB1I NABUCCO IER;1;;43.768863,3.862357
06357A;342980;SAUVIAN BP;3 RUE NEUVE;;;34410;SAUVIAN;34298;FRANCE;DAB;1;Externe;43.294732,3.261614
06358A;342990;SERIGNAN;146 AVENUE DE LA PLAGE;;;34410;SERIGNAN;34299;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;43.280237,3.280593
06360A;343010;SETE;5 BOULEVARD DANIELLE CASANOVA;;;34200;SETE;34301;FRANCE;DAB;2;Externe;43.405797,3.694469
14688A;771220;COMBS LA VILLE BP;8 RUE PABLO PICASSO;ZAC SUD;;77380;COMBS LA VILLE;77122;FRANCE;DAB;1;Externe;48.65871,2.563542
14701A;771520;DAMMARIE LES LYS;447 RUE DU BAS MOULIN;;;77190;DAMMARIE LES LYS;77152;FRANCE;CHANGEUR MONNAIE;1;;48.517324,2.633727
14709A;771690;EMERAINVILLE BP;18 RUE D EMERY;;;77184;EMERAINVILLE;77169;FRANCE;LISA 2;1;;48.811382,2.621821
14710A;771710;ESBLY;1 RUE LEO LAGRANGE;;;77450;ESBLY;77171;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;48.900134,2.810846
14720A;771860;FONTAINEBLEAU;PLACE NAPOLEON BONAPARTE;;;77300;FONTAINEBLEAU;77186;FRANCE;NBC1I NABANCO IER;1;;48.403833,2.699163
14729A;772150;GRETZ ARMAINVILLIERS BP;69 RUE DE PARIS;;;77220;GRETZ ARMAINVILLIERS;77215;FRANCE;NBC1I NABANCO IER;1;;48.740401,2.741485
14729A;772150;GRETZ ARMAINVILLIERS BP;69 RUE DE PARIS;;;77220;GRETZ ARMAINVILLIERS;77215;FRANCE;URNE;1;;48.740401,2.741485
14734B;932700;BOBIGNY JAURES BP;178 AVENUE JEAN JAURES;;;93000;BOBIGNY;93008;FRANCE;DAB;3;Interne;48.908982,2.437939
14771A;773050;MONTEREAU;PLACE DU VIEUX MARCHE;;;77130;MONTEREAU FAULT YONNE;77305;FRANCE;NAB1I NABUCCO IER;1;;48.387506,2.95634
14771A;773050;MONTEREAU;PLACE DU VIEUX MARCHE;;;77130;MONTEREAU FAULT YONNE;77305;FRANCE;URNE;1;;48.387506,2.95634
14772A;773070;MONTEVRAIN BP;PLACE DE LA POSTE;;;77144;MONTEVRAIN;77307;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;48.875603,2.746498
14772A;773070;MONTEVRAIN BP;PLACE DE LA POSTE;;;77144;MONTEVRAIN;77307;FRANCE;URNE;1;;48.875603,2.746498
14777A;773160;MORET SUR LOING;19 RUE DES GRANGES;;;77250;MORET SUR LOING;77316;FRANCE;DAB;1;Externe;48.373581,2.816632
14777A;773160;MORET SUR LOING;19 RUE DES GRANGES;;;77250;MORET SUR LOING;77316;FRANCE;LISA 2;1;;48.373581,2.816632
14777A;773160;MORET SUR LOING;19 RUE DES GRANGES;;;77250;MORET SUR LOING;77316;FRANCE;URNE;1;;48.373581,2.816632
